From	To	Species	Gene Name
ENSBTAG00000045994	ADRA2C	Bos taurus	adrenoceptor alpha 2C(ADRA2C)
ENSBTAG00000005066	HSPBAP1	Bos taurus	HSPB1 associated protein 1(HSPBAP1)
ENSBTAG00000020693	DERL1	Bos taurus	derlin 1(DERL1)
ENSBTAG00000006398	TOMM7	Bos taurus	translocase of outer mitochondrial membrane 7(TOMM7)
ENSBTAG00000005067	UBTF	Bos taurus	upstream binding transcription factor(UBTF)
ENSBTAG00000044664	LOC112446488	Bos taurus	U7 small nuclear RNA(LOC112446488)
ENSBTAG00000005068	COMMD2	Bos taurus	COMM domain containing 2(COMMD2)
ENSBTAG00000044661	MIR2314	Bos taurus	microRNA mir-2314(MIR2314)
ENSBTAG00000030029	MIR551B	Bos taurus	microRNA mir-551b(MIR551B)
ENSBTAG00000018374	WASF2	Bos taurus	WASP family member 2(WASF2)
ENSBTAG00000017043	CMKLR2	Bos taurus	chemerin chemokine-like receptor 2(CMKLR2)
ENSBTAG00000018373	DPYSL2	Bos taurus	dihydropyrimidinase like 2(DPYSL2)
ENSBTAG00000017042	HAMP	Bos taurus	hepcidin antimicrobial peptide(HAMP)
ENSBTAG00000018372	STARD7	Bos taurus	StAR related lipid transfer domain containing 7(STARD7)
ENSBTAG00000017041	PTGER1	Bos taurus	prostaglandin E receptor 1(PTGER1)
ENSBTAG00000017040	LY6E	Bos taurus	lymphocyte antigen 6 family member E(LY6E)
ENSBTAG00000032687	LOC505033	Bos taurus	cystatin-9-like(LOC505033)
ENSBTAG00000031358	DPYD	Bos taurus	dihydropyrimidine dehydrogenase(DPYD)
ENSBTAG00000030027	MIR449B	Bos taurus	microRNA mir-449b(MIR449B)
ENSBTAG00000017045	FABP2	Bos taurus	fatty acid binding protein 2(FABP2)
ENSBTAG00000017044	MAG	Bos taurus	myelin associated glycoprotein(MAG)
ENSBTAG00000018375	ATCAY	Bos taurus	ATCAY kinesin light chain interacting caytaxin(ATCAY)
ENSBTAG00000032684	DYNLT2B	Bos taurus	dynein light chain Tctex-type 2B(DYNLT2B)
ENSBTAG00000031352	ZNF554	Bos taurus	zinc finger protein 554(ZNF554)
ENSBTAG00000055207	SCD	Bos taurus	stearoyl-CoA desaturase(SCD)
ENSBTAG00000032686	HOMEZ	Bos taurus	homeobox and leucine zipper encoding(HOMEZ)
ENSBTAG00000055204	JRK	Bos taurus	Jrk helix-turn-helix protein(JRK)
ENSBTAG00000031355	LOC529196	Bos taurus	C-C chemokine receptor type 1-like(LOC529196)
ENSBTAG00000017048	CENPJ	Bos taurus	centromere protein J(CENPJ)
ENSBTAG00000030024	MIR542	Bos taurus	microRNA mir-542(MIR542)
ENSBTAG00000018379	TMEM175	Bos taurus	transmembrane protein 175(TMEM175)
ENSBTAG00000005072	CUBN	Bos taurus	cubilin(CUBN)
ENSBTAG00000005073	ZNHIT2	Bos taurus	zinc finger HIT-type containing 2(ZNHIT2)
ENSBTAG00000043329	LOC112442094	Bos taurus	small nucleolar RNA SNORA49(LOC112442094)
ENSBTAG00000031340	SLC6A20	Bos taurus	solute carrier family 6 member 20(SLC6A20)
ENSBTAG00000005075	MRPL49	Bos taurus	mitochondrial ribosomal protein L49(MRPL49)
ENSBTAG00000043328	LOC112448307	Bos taurus	U8 small nucleolar RNA(LOC112448307)
ENSBTAG00000044659	LOC112443325	Bos taurus	small Cajal body-specific RNA 13(LOC112443325)
ENSBTAG00000005070	OR55B1	Bos taurus	olfactory receptor family 55 subfamily B member 1(OR55B1)
ENSBTAG00000005071	SLC49A4	Bos taurus	solute carrier family 49 member 4(SLC49A4)
ENSBTAG00000044657	LOC112446083	Bos taurus	U6 spliceosomal RNA(LOC112446083)
ENSBTAG00000045989	CDC42EP5	Bos taurus	CDC42 effector protein 5(CDC42EP5)
ENSBTAG00000043320	LOC112445213	Bos taurus	U6 spliceosomal RNA(LOC112445213)
ENSBTAG00000044658	LOC112443629	Bos taurus	U6 spliceosomal RNA(LOC112443629)
ENSBTAG00000005076	SYVN1	Bos taurus	synoviolin 1(SYVN1)
ENSBTAG00000044651	LOC112448207	Bos taurus	U6 spliceosomal RNA(LOC112448207)
ENSBTAG00000005077	CXCL12	Bos taurus	C-X-C motif chemokine ligand 12(CXCL12)
ENSBTAG00000044653	LOC112442427	Bos taurus	small nucleolar RNA SNORA15(LOC112442427)
ENSBTAG00000005078	UCHL1	Bos taurus	ubiquitin C-terminal hydrolase L1(UCHL1)
ENSBTAG00000043324	LOC112444800	Bos taurus	small nucleolar RNA SNORA14(LOC112444800)
ENSBTAG00000018381	CRLF3	Bos taurus	cytokine receptor like factor 3(CRLF3)
ENSBTAG00000045980	ARF6	Bos taurus	ADP ribosylation factor 6(ARF6)
ENSBTAG00000045981	DIRAS1	Bos taurus	DIRAS family GTPase 1(DIRAS1)
ENSBTAG00000018385	DNAJC8	Bos taurus	DnaJ heat shock protein family (Hsp40) member C8(DNAJC8)
ENSBTAG00000017053	ABCB10	Bos taurus	ATP binding cassette subfamily B member 10(ABCB10)
ENSBTAG00000030019	MIR545	Bos taurus	microRNA mir-545(MIR545)
ENSBTAG00000018383	ATAD5	Bos taurus	ATPase family AAA domain containing 5(ATAD5)
ENSBTAG00000018382	SMS	Bos taurus	spermine synthase(SMS)
ENSBTAG00000017051	ACP6	Bos taurus	acid phosphatase 6, lysophosphatidic(ACP6)
ENSBTAG00000030014	MIR628	Bos taurus	microRNA mir-628(MIR628)
ENSBTAG00000055213	LOC107132393	Bos taurus	histone H2B type 1-L-like(LOC107132393)
ENSBTAG00000031346	ANKUB1	Bos taurus	ankyrin repeat and ubiquitin domain containing 1(ANKUB1)
ENSBTAG00000017056	PKLR	Bos taurus	pyruvate kinase L/R(PKLR)
ENSBTAG00000018387	EIPR1	Bos taurus	EARP complex and GARP complex interacting protein 1(EIPR1)
ENSBTAG00000031347	SPDYA	Bos taurus	speedy/RINGO cell cycle regulator family member A(SPDYA)
ENSBTAG00000030016	MIR656	Bos taurus	microRNA mir-656(MIR656)
ENSBTAG00000055211	LOC112447833	Bos taurus	uncharacterized LOC112447833(LOC112447833)
ENSBTAG00000055212	HTATSF1	Bos taurus	HIV-1 Tat specific factor 1(HTATSF1)
ENSBTAG00000031348	CCR9	Bos taurus	C-C motif chemokine receptor 9(CCR9)
ENSBTAG00000018386	TEFM	Bos taurus	transcription elongation factor, mitochondrial(TEFM)
ENSBTAG00000017055	HCN3	Bos taurus	hyperpolarization activated cyclic nucleotide gated potassium channel 3(HCN3)
ENSBTAG00000030017	MIR654	Bos taurus	microRNA mir-654(MIR654)
ENSBTAG00000055217	OR10A3F	Bos taurus	olfactory receptor family 10 subfamily A member 3F(OR10A3F)
ENSBTAG00000032674	SENP5	Bos taurus	SUMO specific peptidase 5(SENP5)
ENSBTAG00000030013	MIR660	Bos taurus	microRNA mir-660(MIR660)
ENSBTAG00000006370	CCT3	Bos taurus	chaperonin containing TCP1 subunit 3(CCT3)
ENSBTAG00000005040	PPP4R3A	Bos taurus	protein phosphatase 4 regulatory subunit 3A(PPP4R3A)
ENSBTAG00000043319	LOC112441917	Bos taurus	U5 spliceosomal RNA(LOC112441917)
ENSBTAG00000006371	RMND5B	Bos taurus	required for meiotic nuclear division 5 homolog B(RMND5B)
ENSBTAG00000032660	CHIC2	Bos taurus	cysteine rich hydrophobic domain 2(CHIC2)
ENSBTAG00000005041	CIB4	Bos taurus	calcium and integrin binding family member 4(CIB4)
ENSBTAG00000043318	LOC112443705	Bos taurus	U6 spliceosomal RNA(LOC112443705)
ENSBTAG00000006372	KLHL42	Bos taurus	kelch like family member 42(KLHL42)
ENSBTAG00000005042	SYN1	Bos taurus	synapsin I(SYN1)
ENSBTAG00000043317	LOC112448931	Bos taurus	small nucleolar RNA SNORD86(LOC112448931)
ENSBTAG00000044649	MIR2451	Bos taurus	microRNA mir-2451(MIR2451)
ENSBTAG00000020679	CNTN1	Bos taurus	contactin 1(CNTN1)
ENSBTAG00000006378	RIPK1	Bos taurus	receptor interacting serine/threonine kinase 1(RIPK1)
ENSBTAG00000045975	LOC112443280	Bos taurus	small nucleolar RNA SNORD116(LOC112443280)
ENSBTAG00000043312	LOC112446121	Bos taurus	small nucleolar RNA U2-19(LOC112446121)
ENSBTAG00000006379	BPHL	Bos taurus	biphenyl hydrolase like(BPHL)
ENSBTAG00000005048	DHRS7C	Bos taurus	dehydrogenase/reductase 7C(DHRS7C)
ENSBTAG00000005049	BLK	Bos taurus	BLK proto-oncogene, Src family tyrosine kinase(BLK)
ENSBTAG00000044646	LOC112447177	Bos taurus	U6 spliceosomal RNA(LOC112447177)
ENSBTAG00000020676	MMP9	Bos taurus	matrix metallopeptidase 9(MMP9)
ENSBTAG00000044647	MIR2378	Bos taurus	microRNA mir-2378(MIR2378)
ENSBTAG00000020673	OR52Z1	Bos taurus	olfactory receptor family 52 subfamily Z member 1(OR52Z1)
ENSBTAG00000043316	LOC112442772	Bos taurus	U6 spliceosomal RNA(LOC112442772)
ENSBTAG00000006374	NHP2	Bos taurus	NHP2 ribonucleoprotein(NHP2)
ENSBTAG00000020674	LTB	Bos taurus	lymphotoxin beta(LTB)
ENSBTAG00000043315	LOC112443659	Bos taurus	small nucleolar RNA SNORA61(LOC112443659)
ENSBTAG00000043314	LOC112443299	Bos taurus	small nucleolar RNA SNORD113/SNORD114 family(LOC112443299)
ENSBTAG00000044642	LOC112442781	Bos taurus	U6 spliceosomal RNA(LOC112442781)
ENSBTAG00000005045	GIP	Bos taurus	gastric inhibitory polypeptide(GIP)
ENSBTAG00000020671	TRIM62	Bos taurus	tripartite motif containing 62(TRIM62)
ENSBTAG00000020672	NEU2	Bos taurus	neuraminidase 2(NEU2)
ENSBTAG00000044643	MIR2346	Bos taurus	microRNA mir-2346(MIR2346)
ENSBTAG00000043313	LOC112449655	Bos taurus	U6 spliceosomal RNA(LOC112449655)
ENSBTAG00000006377	MYO1G	Bos taurus	myosin IG(MYO1G)
ENSBTAG00000019680	ZYG11B	Bos taurus	zyg-11 family member B, cell cycle regulator(ZYG11B)
ENSBTAG00000019682	PRRC2A	Bos taurus	proline rich coiled-coil 2A(PRRC2A)
ENSBTAG00000019683	LYPD6B	Bos taurus	LY6/PLAUR domain containing 6B(LYPD6B)
ENSBTAG00000018352	ABRA	Bos taurus	actin binding Rho activating protein(ABRA)
ENSBTAG00000017021	MCM4	Bos taurus	minichromosome maintenance complex component 4(MCM4)
ENSBTAG00000017020	S100G	Bos taurus	S100 calcium binding protein G(S100G)
ENSBTAG00000030003	MIR127	Bos taurus	microRNA mir-127(MIR127)
ENSBTAG00000018356	SYT15	Bos taurus	synaptotagmin 15(SYT15)
ENSBTAG00000055224	LOC112445748	Bos taurus	Alpha-amylase(LOC112445748)
ENSBTAG00000019689	LOC511138	Bos taurus	Hypothetical LOC511138(LOC511138)
ENSBTAG00000017024	PPARGC1A	Bos taurus	PPARG coactivator 1 alpha(PPARGC1A)
ENSBTAG00000031335	BABAM2	Bos taurus	BRISC and BRCA1 A complex member 2(BABAM2)
ENSBTAG00000030004	MIR433	Bos taurus	microRNA mir-433(MIR433)
ENSBTAG00000055225	OR4N2C	Bos taurus	olfactory receptor family 4 subfamily N member 2C(OR4N2C)
ENSBTAG00000017023	INPP5J	Bos taurus	inositol polyphosphate-5-phosphatase J(INPP5J)
ENSBTAG00000033998	RFX8	Bos taurus	regulatory factor X8(RFX8)
ENSBTAG00000031330	HTR3B	Bos taurus	5-hydroxytryptamine receptor 3B(HTR3B)
ENSBTAG00000019684	NUDT3	Bos taurus	nudix hydrolase 3(NUDT3)
ENSBTAG00000019685	BAG6	Bos taurus	BAG cochaperone 6(BAG6)
ENSBTAG00000017028	USO1	Bos taurus	USO1 vesicle transport factor(USO1)
ENSBTAG00000055226	LOC107133032	Bos taurus	endogenous retrovirus group V member 1 Env polyprotein-like(LOC107133032)
ENSBTAG00000031332	RBKS	Bos taurus	ribokinase(RBKS)
ENSBTAG00000017027	MMACHC	Bos taurus	metabolism of cobalamin associated C(MMACHC)
ENSBTAG00000019686	NCKAP1L	Bos taurus	NCK associated protein 1 like(NCKAP1L)
ENSBTAG00000018358	STAC3	Bos taurus	SH3 and cysteine rich domain 3(STAC3)
ENSBTAG00000017026	DEPDC1B	Bos taurus	DEP domain containing 1B(DEPDC1B)
ENSBTAG00000030002	MIR431	Bos taurus	microRNA mir-431(MIR431)
ENSBTAG00000033994	LOC112441909	Bos taurus	U2 spliceosomal RNA(LOC112441909)
ENSBTAG00000019687	NMRK1	Bos taurus	nicotinamide riboside kinase 1(NMRK1)
ENSBTAG00000006383	RPS3A	Bos taurus	ribosomal protein S3A(RPS3A)
ENSBTAG00000005052	GLP2R	Bos taurus	glucagon like peptide 2 receptor(GLP2R)
ENSBTAG00000043306	LOC112449410	Bos taurus	small nucleolar RNA SNORD110(LOC112449410)
ENSBTAG00000045969	APON	Bos taurus	apolipoprotein N(APON)
ENSBTAG00000055230	LOC112442457	Bos taurus	U6 spliceosomal RNA(LOC112442457)
ENSBTAG00000044633	MIR2469	Bos taurus	microRNA mir-2469(MIR2469)
ENSBTAG00000043301	LOC112444252	Bos taurus	small nucleolar RNA SNORD58(LOC112444252)
ENSBTAG00000005058	PHAF1	Bos taurus	phagosome assembly factor 1(PHAF1)
ENSBTAG00000020688	ARHGEF15	Bos taurus	Rho guanine nucleotide exchange factor 15(ARHGEF15)
ENSBTAG00000020689	PPP1R13L	Bos taurus	protein phosphatase 1 regulatory subunit 13 like(PPP1R13L)
ENSBTAG00000045966	GPRIN3	Bos taurus	GPRIN family member 3(GPRIN3)
ENSBTAG00000044636	LOC112446864	Bos taurus	small nucleolar RNA SNORA44(LOC112446864)
ENSBTAG00000020684	LOC100300624	Bos taurus	actin related protein 2/3 complex, subunit 1B, 41kDa pseudogene(LOC100300624)
ENSBTAG00000045960	LOC112443365	Bos taurus	U6 spliceosomal RNA(LOC112443365)
ENSBTAG00000029007	LOC112441911	Bos taurus	U2 spliceosomal RNA(LOC112441911)
ENSBTAG00000043305	LOC112441717	Bos taurus	small nucleolar RNA SNORA23(LOC112441717)
ENSBTAG00000006385	ADGRB1	Bos taurus	adhesion G protein-coupled receptor B1(ADGRB1)
ENSBTAG00000044630	MIR2356	Bos taurus	microRNA mir-2356(MIR2356)
ENSBTAG00000005055	TXK	Bos taurus	TXK tyrosine kinase(TXK)
ENSBTAG00000006387	TSNAXIP1	Bos taurus	translin associated factor X interacting protein 1(TSNAXIP1)
ENSBTAG00000045962	LOC112443628	Bos taurus	U6 spliceosomal RNA(LOC112443628)
ENSBTAG00000044631	LOC112446117	Bos taurus	small Cajal body-specific RNA 6(LOC112446117)
ENSBTAG00000043303	LOC112449162	Bos taurus	U6 spliceosomal RNA(LOC112449162)
ENSBTAG00000006388	FBXO45	Bos taurus	F-box protein 45(FBXO45)
ENSBTAG00000005057	FAM204A	Bos taurus	family with sequence similarity 204 member A(FAM204A)
ENSBTAG00000043302	LOC112444957	Bos taurus	small nucleolar RNA SNORD31(LOC112444957)
ENSBTAG00000019692	BCL2L2	Bos taurus	BCL2 like 2(BCL2L2)
ENSBTAG00000020681	FNDC3A	Bos taurus	fibronectin type III domain containing 3A(FNDC3A)
ENSBTAG00000019694	ADAM23	Bos taurus	ADAM metallopeptidase domain 23(ADAM23)
ENSBTAG00000017032	FREM2	Bos taurus	FRAS1 related extracellular matrix 2(FREM2)
ENSBTAG00000018363	RBM48	Bos taurus	RNA binding motif protein 48(RBM48)
ENSBTAG00000031327	TRMT61A	Bos taurus	tRNA methyltransferase 61A(TRMT61A)
ENSBTAG00000018362	TMEM109	Bos taurus	transmembrane protein 109(TMEM109)
ENSBTAG00000017031	ERICH3	Bos taurus	glutamate rich 3(ERICH3)
ENSBTAG00000018361	R3HDM2	Bos taurus	R3H domain containing 2(R3HDM2)
ENSBTAG00000019690	PNLIPRP3	Bos taurus	pancreatic lipase related protein 3(PNLIPRP3)
ENSBTAG00000018360	MRPL1	Bos taurus	mitochondrial ribosomal protein L1(MRPL1)
ENSBTAG00000018367	CD6	Bos taurus	CD6 molecule(CD6)
ENSBTAG00000017035	USF2	Bos taurus	upstream transcription factor 2, c-fos interacting(USF2)
ENSBTAG00000018366	SLC15A3	Bos taurus	solute carrier family 15 member 3(SLC15A3)
ENSBTAG00000032657	TEAD1	Bos taurus	TEA domain transcription factor 1(TEAD1)
ENSBTAG00000018365	CYP2E1	Bos taurus	cytochrome P450 family 2 subfamily E member 1(CYP2E1)
ENSBTAG00000018364	TMEM132A	Bos taurus	transmembrane protein 132A(TMEM132A)
ENSBTAG00000032656	CPN2	Bos taurus	carboxypeptidase N subunit 2(CPN2)
ENSBTAG00000017033	LSR	Bos taurus	lipolysis stimulated lipoprotein receptor(LSR)
ENSBTAG00000055234	LOC101902131	Bos taurus	uncharacterized LOC101902131(LOC101902131)
ENSBTAG00000032651	LOC526524	Bos taurus	FK506 binding protein 1A, 12kDa-like(LOC526524)
ENSBTAG00000019695	RLF	Bos taurus	RLF zinc finger(RLF)
ENSBTAG00000032650	DPY19L2	Bos taurus	dpy-19 like 2(DPY19L2)
ENSBTAG00000017039	ARHGEF33	Bos taurus	Rho guanine nucleotide exchange factor 33(ARHGEF33)
ENSBTAG00000019696	RCE1	Bos taurus	Ras converting CAAX endopeptidase 1(RCE1)
ENSBTAG00000055237	CHRNA10	Bos taurus	cholinergic receptor nicotinic alpha 10 subunit(CHRNA10)
ENSBTAG00000019697	NPAS2	Bos taurus	neuronal PAS domain protein 2(NPAS2)
ENSBTAG00000017038	HPS4	Bos taurus	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2(HPS4)
ENSBTAG00000018369	MYL2	Bos taurus	myosin light chain 2(MYL2)
ENSBTAG00000033983	MAP2K1	Bos taurus	mitogen-activated protein kinase kinase 1(MAP2K1)
ENSBTAG00000019698	TMCO2	Bos taurus	transmembrane and coiled-coil domains 2(TMCO2)
ENSBTAG00000017037	PKN1	Bos taurus	protein kinase N1(PKN1)
ENSBTAG00000007680	THSD7A	Bos taurus	thrombospondin type 1 domain containing 7A(THSD7A)
ENSBTAG00000006350	SLC22A7	Bos taurus	solute carrier family 22 member 7(SLC22A7)
ENSBTAG00000017009	CMC2	Bos taurus	C-X9-C motif containing 2(CMC2)
ENSBTAG00000018339	ATP5MC1	Bos taurus	ATP synthase membrane subunit c locus 1(ATP5MC1)
ENSBTAG00000007681	DHFR	Bos taurus	dihydrofolate reductase(DHFR)
ENSBTAG00000045957	SAMM50	Bos taurus	SAMM50 sorting and assembly machinery component(SAMM50)
ENSBTAG00000055242	OR11G7	Bos taurus	olfactory receptor family 11 subfamily G member 7(OR11G7)
ENSBTAG00000021988	SOCS4	Bos taurus	suppressor of cytokine signaling 4(SOCS4)
ENSBTAG00000055240	IGHG1	Bos taurus	immunoglobulin heavy constant gamma 1(IGHG1)
ENSBTAG00000044628	MIR2284P	Bos taurus	microRNA mir-2284p(MIR2284P)
ENSBTAG00000020657	FAT1	Bos taurus	FAT atypical cadherin 1(FAT1)
ENSBTAG00000020658	LNX1	Bos taurus	ligand of numb-protein X 1(LNX1)
ENSBTAG00000021986	MAPK1IP1L	Bos taurus	mitogen-activated protein kinase 1 interacting protein 1 like(MAPK1IP1L)
ENSBTAG00000044622	MIR2295	Bos taurus	microRNA mir-2295(MIR2295)
ENSBTAG00000020655	BSDC1	Bos taurus	BSD domain containing 1(BSDC1)
ENSBTAG00000005025	FAM91A1	Bos taurus	family with sequence similarity 91 member A1(FAM91A1)
ENSBTAG00000006357	CRIP3	Bos taurus	cysteine rich protein 3(CRIP3)
ENSBTAG00000007687	GDF6	Bos taurus	growth differentiation factor 6(GDF6)
ENSBTAG00000045954	LRRC14B	Bos taurus	leucine rich repeat containing 14B(LRRC14B)
ENSBTAG00000044623	MIR2284R	Bos taurus	microRNA mir-2284r(MIR2284R)
ENSBTAG00000005026	MANEA	Bos taurus	mannosidase endo-alpha(MANEA)
ENSBTAG00000045955	TSSK1B	Bos taurus	testis specific serine kinase 1B(TSSK1B)
ENSBTAG00000044624	LOC112446853	Bos taurus	U7 small nuclear RNA(LOC112446853)
ENSBTAG00000005027	GLRX3	Bos taurus	glutaredoxin 3(GLRX3)
ENSBTAG00000021984	C1H21orf58	Bos taurus	chromosome 1 C21orf58 homolog(C1H21orf58)
ENSBTAG00000020653	FIP1L1	Bos taurus	factor interacting with PAPOLA and CPSF1(FIP1L1)
ENSBTAG00000006359	EPHA1	Bos taurus	EPH receptor A1(EPHA1)
ENSBTAG00000020654	BAZ2B	Bos taurus	bromodomain adjacent to zinc finger domain 2B(BAZ2B)
ENSBTAG00000007689	LPIN1	Bos taurus	lipin 1(LPIN1)
ENSBTAG00000005028	HIRIP3	Bos taurus	HIRA interacting protein 3(HIRIP3)
ENSBTAG00000044625	MIR2401	Bos taurus	microRNA mir-2401(MIR2401)
ENSBTAG00000045956	LOC112448919	Bos taurus	small nucleolar RNA SNORD53/SNORD92(LOC112448919)
ENSBTAG00000007684	MSH3	Bos taurus	mutS homolog 3(MSH3)
ENSBTAG00000006352	MYT1	Bos taurus	myelin transcription factor 1(MYT1)
ENSBTAG00000005021	SEMA5A	Bos taurus	semaphorin 5A(SEMA5A)
ENSBTAG00000020652	TSSK3	Bos taurus	testis specific serine kinase 3(TSSK3)
ENSBTAG00000007683	DCAF17	Bos taurus	DDB1 and CUL4 associated factor 17(DCAF17)
ENSBTAG00000006353	TXNL4B	Bos taurus	thioredoxin like 4B(TXNL4B)
ENSBTAG00000006354	HP	Bos taurus	haptoglobin(HP)
ENSBTAG00000044620	MIR2397	Bos taurus	microRNA mir-2397(MIR2397)
ENSBTAG00000021980	RASSF8	Bos taurus	Ras association domain family member 8(RASSF8)
ENSBTAG00000007686	TBP	Bos taurus	TATA-box binding protein(TBP)
ENSBTAG00000020650	ADCYAP1	Bos taurus	adenylate cyclase activating polypeptide 1(ADCYAP1)
ENSBTAG00000006355	SLC30A2	Bos taurus	solute carrier family 30 member 2(SLC30A2)
ENSBTAG00000007685	PSMB1	Bos taurus	proteasome 20S subunit beta 1(PSMB1)
ENSBTAG00000019660	TMUB2	Bos taurus	transmembrane and ubiquitin like domain containing 2(TMUB2)
ENSBTAG00000018330	RAD9B	Bos taurus	RAD9 checkpoint clamp component B(RAD9B)
ENSBTAG00000005029	TAL1	Bos taurus	TAL bHLH transcription factor 1, erythroid differentiation factor(TAL1)
ENSBTAG00000018334	PLAGL2	Bos taurus	PLAG1 like zinc finger 2(PLAGL2)
ENSBTAG00000019667	RNF187	Bos taurus	ring finger protein 187(RNF187)
ENSBTAG00000017002	RBCK1	Bos taurus	RANBP2-type and C3HC4-type zinc finger containing 1(RBCK1)
ENSBTAG00000018332	PPTC7	Bos taurus	protein phosphatase targeting COQ7(PPTC7)
ENSBTAG00000017001	RBM28	Bos taurus	RNA binding motif protein 28(RBM28)
ENSBTAG00000017000	IL22RA2	Bos taurus	interleukin 22 receptor subunit alpha 2(IL22RA2)
ENSBTAG00000019669	CD163	Bos taurus	CD163 molecule(CD163)
ENSBTAG00000018331	CLEC3B	Bos taurus	C-type lectin domain family 3 member B(CLEC3B)
ENSBTAG00000019662	ATXN7L3	Bos taurus	ataxin 7 like 3(ATXN7L3)
ENSBTAG00000017007	TRIB3	Bos taurus	tribbles pseudokinase 3(TRIB3)
ENSBTAG00000032640	CEP20	Bos taurus	centrosomal protein 20(CEP20)
ENSBTAG00000019663	DECR1	Bos taurus	2,4-dienoyl-CoA reductase 1(DECR1)
ENSBTAG00000032642	GSTA3	Bos taurus	glutathione S-transferase, alpha 3(GSTA3)
ENSBTAG00000017005	LCN8	Bos taurus	lipocalin 8(LCN8)
ENSBTAG00000019665	IL1RN	Bos taurus	interleukin 1 receptor antagonist(IL1RN)
ENSBTAG00000055249	LOC100138302	Bos taurus	magnesium transporter 1-like pseudogene(LOC100138302)
ENSBTAG00000055250	LOC101910047	Bos taurus	zinc finger protein 551(LOC101910047)
ENSBTAG00000006360	CD180	Bos taurus	CD180 molecule(CD180)
ENSBTAG00000007690	AGXT2	Bos taurus	alanine--glyoxylate aminotransferase 2(AGXT2)
ENSBTAG00000007693	SLC45A3	Bos taurus	solute carrier family 45 member 3(SLC45A3)
ENSBTAG00000005030	INO80E	Bos taurus	INO80 complex subunit E(INO80E)
ENSBTAG00000005031	DOC2A	Bos taurus	double C2 domain alpha(DOC2A)
ENSBTAG00000017019	PRKDC	Bos taurus	protein kinase, DNA-activated, catalytic subunit(PRKDC)
ENSBTAG00000045946	VMO1	Bos taurus	vitelline membrane outer layer 1 homolog(VMO1)
ENSBTAG00000044615	LOC112448161	Bos taurus	small nucleolar RNA SNORA70(LOC112448161)
ENSBTAG00000020668	LOC787679	Bos taurus	transmembrane protein 59-like(LOC787679)
ENSBTAG00000045948	CSF2RA	Bos taurus	colony stimulating factor 2 receptor subunit alpha(CSF2RA)
ENSBTAG00000045948	CSF2RA	Bos taurus	colony stimulating factor 2 receptor, alpha(CSF2RA)
ENSBTAG00000021999	CPT1A	Bos taurus	carnitine palmitoyltransferase 1A(CPT1A)
ENSBTAG00000055252	UBE2E1	Bos taurus	ubiquitin conjugating enzyme E2 E1(UBE2E1)
ENSBTAG00000045949	C28H10orf53	Bos taurus	chromosome 28 C10orf53 homolog(C28H10orf53)
ENSBTAG00000006367	CCN2	Bos taurus	cellular communication network factor 2(CCN2)
ENSBTAG00000021997	ITSN1	Bos taurus	intersectin 1(ITSN1)
ENSBTAG00000045942	IQCF6	Bos taurus	IQ motif containing F6(IQCF6)
ENSBTAG00000045943	CHRNG	Bos taurus	cholinergic receptor nicotinic gamma subunit(CHRNG)
ENSBTAG00000020667	KCNQ3	Bos taurus	potassium voltage-gated channel subfamily Q member 3(KCNQ3)
ENSBTAG00000007698	TMEM59L	Bos taurus	transmembrane protein 59 like(TMEM59L)
ENSBTAG00000006368	N4BP3	Bos taurus	NEDD4 binding protein 3(N4BP3)
ENSBTAG00000005038	ZBTB42	Bos taurus	zinc finger and BTB domain containing 42(ZBTB42)
ENSBTAG00000020664	DNAJC14	Bos taurus	DnaJ heat shock protein family (Hsp40) member C14(DNAJC14)
ENSBTAG00000021995	LRTM2	Bos taurus	leucine rich repeats and transmembrane domains 2(LRTM2)
ENSBTAG00000006369	MRPS35	Bos taurus	mitochondrial ribosomal protein S35(MRPS35)
ENSBTAG00000005039	ARAF	Bos taurus	A-Raf proto-oncogene, serine/threonine kinase(ARAF)
ENSBTAG00000044614	LOC112447191	Bos taurus	small Cajal body-specific RNA 23(LOC112447191)
ENSBTAG00000020665	GFRA2	Bos taurus	GDNF family receptor alpha 2(GFRA2)
ENSBTAG00000021996	GATAD1	Bos taurus	GATA zinc finger domain containing 1(GATAD1)
ENSBTAG00000020662	SARNP	Bos taurus	SAP domain containing ribonucleoprotein(SARNP)
ENSBTAG00000007695	CSN1S1	Bos taurus	casein alpha s1(CSN1S1)
ENSBTAG00000021993	SPDEF	Bos taurus	SAM pointed domain containing ETS transcription factor(SPDEF)
ENSBTAG00000007694	KIF25	Bos taurus	kinesin family member 25(KIF25)
ENSBTAG00000006364	GLMP	Bos taurus	glycosylated lysosomal membrane protein(GLMP)
ENSBTAG00000020663	ORMDL2	Bos taurus	ORMDL sphingolipid biosynthesis regulator 2(ORMDL2)
ENSBTAG00000021994	CACNA2D4	Bos taurus	calcium voltage-gated channel auxiliary subunit alpha2delta 4(CACNA2D4)
ENSBTAG00000005033	TLCD3B	Bos taurus	TLC domain containing 3B(TLCD3B)
ENSBTAG00000021991	TMEFF1	Bos taurus	transmembrane protein with EGF like and two follistatin like domains 1(TMEFF1)
ENSBTAG00000005034	CAPN5	Bos taurus	calpain 5(CAPN5)
ENSBTAG00000020660	OR1AK3	Bos taurus	olfactory receptor family 1 subfamily AK member 3(OR1AK3)
